x,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V
-13.451,-3.7897e-05,-2.2844e-05,-1.7292e-05,-1.0046e-05,-7.44e-06,-4.383e-06,1.43e-07
-12.39,-3.4916e-05,-2.1028e-05,-1.6038e-05,-9.21e-06,-6.936e-06,-4.125e-06,1.56e-07
-11.33,-3.1947e-05,-1.9213e-05,-1.4776e-05,-8.392e-06,-6.413e-06,-3.855e-06,1.69e-07
-10.269,-2.8989e-05,-1.7401e-05,-1.3507e-05,-7.587e-06,-5.871e-06,-3.575e-06,1.82e-07
-9.208,-2.6044e-05,-1.559e-05,-1.2232e-05,-6.794e-06,-5.312e-06,-3.285e-06,1.94e-07
-8.147,-2.3111e-05,-1.3781e-05,-1.0953e-05,-6.011e-06,-4.736e-06,-2.984e-06,2.07e-07
-7.086,-2.019e-05,-1.1973e-05,-9.669e-06,-5.236e-06,-4.146e-06,-2.673e-06,2.2e-07
-6.026,-1.7282e-05,-1.0166e-05,-8.381e-06,-4.468e-06,-3.542e-06,-2.354e-06,2.33e-07
-4.965,-1.4385e-05,-8.36e-06,-7.091e-06,-3.705e-06,-2.927e-06,-2.026e-06,2.46e-07
-3.904,-1.1498e-05,-6.555e-06,-5.798e-06,-2.945e-06,-2.301e-06,-1.691e-06,2.58e-07
-2.843,-8.62e-06,-4.75e-06,-4.503e-06,-2.19e-06,-1.668e-06,-1.35e-06,2.71e-07
-1.783,-5.75e-06,-2.946e-06,-3.206e-06,-1.436e-06,-1.029e-06,-1.005e-06,2.84e-07
-0.722,-2.884e-06,-1.142e-06,-1.909e-06,-6.83e-07,-3.87e-07,-6.56e-07,2.97e-07
0.339,-2.1e-08,6.62e-07,-6.11e-07,7e-08,2.57e-07,-3.06e-07,3.1e-07
