x,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V
-78.823,-0.000182379,-0.000093536,-0.000049841,-0.000026874,-0.000013144,-0.000007053,-0.000000777
-79.04,-0.000182669,-0.000093618,-0.000049869,-0.000026887,-0.00001315,-0.000007052,-0.000000781
-79.256,-0.000182955,-0.0000937,-0.000049896,-0.0000269,-0.000013156,-0.000007051,-0.000000785
-79.473,-0.000183239,-0.00009378,-0.000049924,-0.000026913,-0.000013161,-0.00000705,-0.000000789
-79.689,-0.000183519,-0.000093859,-0.000049951,-0.000026926,-0.000013167,-0.000007049,-0.000000792
-79.906,-0.000183796,-0.000093937,-0.000049979,-0.000026938,-0.000013173,-0.000007048,-0.000000796
-80.122,-0.00018407,-0.000094014,-0.000050006,-0.000026951,-0.000013179,-0.000007047,-0.0000008
-80.339,-0.000184341,-0.00009409,-0.000050033,-0.000026964,-0.000013185,-0.000007046,-0.000000804
-80.555,-0.000184608,-0.000094164,-0.00005006,-0.000026977,-0.00001319,-0.000007045,-0.000000807
-80.772,-0.000184872,-0.000094238,-0.000050087,-0.00002699,-0.000013196,-0.000007044,-0.000000811
-80.988,-0.000185133,-0.00009431,-0.000050114,-0.000027002,-0.000013202,-0.000007043,-0.000000815
-81.205,-0.00018539,-0.000094382,-0.000050141,-0.000027015,-0.000013208,-0.000007042,-0.000000819
-81.421,-0.000185645,-0.000094452,-0.000050168,-0.000027028,-0.000013214,-0.000007041,-0.000000823
-81.638,-0.000185896,-0.000094522,-0.000050194,-0.00002704,-0.00001322,-0.00000704,-0.000000826
-81.854,-0.000186143,-0.000094591,-0.000050221,-0.000027053,-0.000013225,-0.000007039,-0.00000083
-82.071,-0.000186388,-0.000094658,-0.000050247,-0.000027066,-0.000013231,-0.000007038,-0.000000834
-82.287,-0.000186629,-0.000094725,-0.000050274,-0.000027078,-0.000013237,-0.000007037,-0.000000838
-82.504,-0.000186866,-0.000094791,-0.0000503,-0.000027091,-0.000013243,-0.000007036,-0.000000841
-82.72,-0.000187101,-0.000094857,-0.000050327,-0.000027104,-0.000013249,-0.000007035,-0.000000845
-82.937,-0.000187332,-0.000094921,-0.000050353,-0.000027116,-0.000013255,-0.000007034,-0.000000849
-83.153,-0.00018756,-0.000094985,-0.000050379,-0.000027129,-0.000013261,-0.000007033,-0.000000853
-83.37,-0.000187785,-0.000095048,-0.000050405,-0.000027141,-0.000013266,-0.000007032,-0.000000856
-83.586,-0.000188006,-0.000095111,-0.000050431,-0.000027154,-0.000013272,-0.000007031,-0.00000086
-83.803,-0.000188224,-0.000095173,-0.000050457,-0.000027166,-0.000013278,-0.00000703,-0.000000864
-84.019,-0.000188439,-0.000095234,-0.000050483,-0.000027179,-0.000013284,-0.000007029,-0.000000868
-84.236,-0.000188651,-0.000095295,-0.000050509,-0.000027191,-0.00001329,-0.000007028,-0.000000872
-84.452,-0.00018886,-0.000095355,-0.000050535,-0.000027204,-0.000013296,-0.000007027,-0.000000875
-84.669,-0.000189065,-0.000095415,-0.00005056,-0.000027216,-0.000013302,-0.000007025,-0.000000879
-84.885,-0.000189267,-0.000095474,-0.000050586,-0.000027229,-0.000013307,-0.000007024,-0.000000883
-85.102,-0.000189466,-0.000095533,-0.000050611,-0.000027241,-0.000013313,-0.000007023,-0.000000887
-85.318,-0.000189662,-0.000095592,-0.000050637,-0.000027254,-0.000013319,-0.000007022,-0.00000089
-85.535,-0.000189854,-0.00009565,-0.000050662,-0.000027266,-0.000013325,-0.000007021,-0.000000894
-85.751,-0.000190044,-0.000095708,-0.000050688,-0.000027279,-0.000013331,-0.00000702,-0.000000898
-85.968,-0.00019023,-0.000095766,-0.000050713,-0.000027291,-0.000013337,-0.000007019,-0.000000902
-86.184,-0.000190413,-0.000095824,-0.000050738,-0.000027303,-0.000013343,-0.000007018,-0.000000905
-86.401,-0.000190593,-0.000095881,-0.000050763,-0.000027316,-0.000013349,-0.000007016,-0.000000909
-86.617,-0.00019077,-0.000095939,-0.000050788,-0.000027328,-0.000013354,-0.000007015,-0.000000913
-86.834,-0.000190944,-0.000095996,-0.000050813,-0.00002734,-0.00001336,-0.000007014,-0.000000917
-87.05,-0.000191115,-0.000096053,-0.000050838,-0.000027353,-0.000013366,-0.000007013,-0.00000092
-87.267,-0.000191283,-0.000096111,-0.000050863,-0.000027365,-0.000013372,-0.000007012,-0.000000924
-87.483,-0.000191447,-0.000096168,-0.000050888,-0.000027377,-0.000013378,-0.000007011,-0.000000928
-87.7,-0.000191609,-0.000096225,-0.000050913,-0.00002739,-0.000013384,-0.000007009,-0.000000932
-87.916,-0.000191768,-0.000096282,-0.000050937,-0.000027402,-0.00001339,-0.000007008,-0.000000936
-88.133,-0.000191923,-0.000096338,-0.000050962,-0.000027414,-0.000013396,-0.000007007,-0.000000939
-88.349,-0.000192076,-0.000096395,-0.000050986,-0.000027426,-0.000013402,-0.000007006,-0.000000943
-88.566,-0.000192226,-0.000096452,-0.000051011,-0.000027439,-0.000013408,-0.000007005,-0.000000947
-88.782,-0.000192373,-0.000096508,-0.000051035,-0.000027451,-0.000013413,-0.000007004,-0.000000951
-88.999,-0.000192517,-0.000096565,-0.00005106,-0.000027463,-0.000013419,-0.000007002,-0.000000954
-89.215,-0.000192658,-0.000096621,-0.000051084,-0.000027475,-0.000013425,-0.000007001,-0.000000958
-89.432,-0.000192796,-0.000096678,-0.000051108,-0.000027487,-0.000013431,-0.000007,-0.000000962
-89.648,-0.000192932,-0.000096734,-0.000051133,-0.0000275,-0.000013437,-0.000006999,-0.000000966
-89.865,-0.000193064,-0.000096791,-0.000051157,-0.000027512,-0.000013443,-0.000006998,-0.000000969
-90.081,-0.000193194,-0.000096847,-0.000051181,-0.000027524,-0.000013449,-0.000006996,-0.000000973
-90.298,-0.000193322,-0.000096903,-0.000051205,-0.000027536,-0.000013455,-0.000006995,-0.000000977
-90.514,-0.000193446,-0.000096959,-0.000051229,-0.000027548,-0.000013461,-0.000006994,-0.000000981
-90.731,-0.000193568,-0.000097015,-0.000051253,-0.00002756,-0.000013467,-0.000006993,-0.000000985
-90.947,-0.000193687,-0.000097071,-0.000051277,-0.000027573,-0.000013473,-0.000006991,-0.000000988
-91.164,-0.000193804,-0.000097127,-0.0000513,-0.000027585,-0.000013478,-0.00000699,-0.000000992
-91.38,-0.000193918,-0.000097183,-0.000051324,-0.000027597,-0.000013484,-0.000006989,-0.000000996
-91.597,-0.000194029,-0.000097239,-0.000051348,-0.000027609,-0.00001349,-0.000006988,-0.000001
-91.813,-0.000194138,-0.000097295,-0.000051371,-0.000027621,-0.000013496,-0.000006987,-0.000001003
-92.03,-0.000194245,-0.00009735,-0.000051395,-0.000027633,-0.000013502,-0.000006985,-0.000001007
-92.246,-0.000194349,-0.000097406,-0.000051418,-0.000027645,-0.000013508,-0.000006984,-0.000001011
-92.463,-0.00019445,-0.000097462,-0.000051442,-0.000027657,-0.000013514,-0.000006983,-0.000001015
-92.679,-0.000194549,-0.000097517,-0.000051465,-0.000027669,-0.00001352,-0.000006982,-0.000001018
-92.895,-0.000194646,-0.000097573,-0.000051489,-0.000027681,-0.000013526,-0.00000698,-0.000001022
-93.112,-0.000194741,-0.000097628,-0.000051512,-0.000027693,-0.000013532,-0.000006979,-0.000001026
-93.328,-0.000194833,-0.000097684,-0.000051535,-0.000027705,-0.000013538,-0.000006978,-0.00000103
-93.545,-0.000194923,-0.000097739,-0.000051558,-0.000027718,-0.000013544,-0.000006977,-0.000001034
-93.761,-0.000195011,-0.000097795,-0.000051581,-0.00002773,-0.00001355,-0.000006975,-0.000001037
-93.978,-0.000195097,-0.00009785,-0.000051605,-0.000027742,-0.000013556,-0.000006974,-0.000001041
-94.194,-0.000195181,-0.000097905,-0.000051628,-0.000027754,-0.000013561,-0.000006973,-0.000001045
-94.411,-0.000195262,-0.00009796,-0.000051651,-0.000027766,-0.000013567,-0.000006971,-0.000001049
-94.627,-0.000195342,-0.000098016,-0.000051673,-0.000027778,-0.000013573,-0.00000697,-0.000001052
-94.844,-0.00019542,-0.000098071,-0.000051696,-0.00002779,-0.000013579,-0.000006969,-0.000001056
-95.06,-0.000195495,-0.000098126,-0.000051719,-0.000027802,-0.000013585,-0.000006968,-0.00000106
