Len,Osc,Die,Vg,Vd,Id
11,30,105,16,-35,1.24E-13
11,30,105,16.2,-35,1.24E-13
11,30,105,16.4,-35,1.24E-13
11,30,105,16.6,-35,1.24E-13
11,30,105,16.8,-35,1.24E-13
11,30,105,17,-35,1.24E-13
11,30,105,17.2,-35,1.24E-13
11,30,105,17.4,-35,1.24E-13
11,30,105,17.6,-35,1.24E-13
11,30,105,17.8,-35,1.24E-13
11,30,105,18,-35,1.24E-13
11,30,105,18.2,-35,1.25E-13
11,30,105,18.4,-35,1.25E-13
11,30,105,18.6,-35,1.25E-13
11,30,105,18.8,-35,1.25E-13
11,30,105,19,-35,1.25E-13
11,30,105,19.2,-35,1.25E-13
11,30,105,19.4,-35,1.25E-13
11,30,105,19.6,-35,1.25E-13
11,30,105,19.8,-35,1.25E-13
11,30,105,20,-35,1.25E-13
13,30,100,-40,-10,0.000000556
13,30,100,-39.8,-10,0.000000553
13,30,100,-39.6,-10,0.00000055
13,30,100,-39.4,-10,0.000000547
13,30,100,-39.2,-10,0.000000545
13,30,100,-39,-10,0.000000542
13,30,100,-38.8,-10,0.000000539
13,30,100,-38.6,-10,0.000000536
13,30,100,-38.4,-10,0.000000533
13,30,100,-38.2,-10,0.00000053
13,30,100,-38,-10,0.000000527
13,30,100,-37.8,-10,0.000000524
13,30,100,-37.6,-10,0.000000522
13,30,100,-37.4,-10,0.000000519
13,30,100,-37.2,-10,0.000000516
13,30,100,-37,-10,0.000000513
13,30,100,-36.8,-10,0.00000051
13,30,100,-36.6,-10,0.000000507
13,30,100,-36.4,-10,0.000000504
13,30,100,-36.2,-10,0.000000501
13,30,100,-36,-10,0.000000499
13,30,100,-35.8,-10,0.000000496
13,30,100,-35.6,-10,0.000000493
13,30,100,-35.4,-10,0.00000049
13,30,100,-35.2,-10,0.000000487
13,30,100,-35,-10,0.000000484
13,30,100,-34.8,-10,0.000000481
13,30,100,-34.6,-10,0.000000478
13,30,100,-34.4,-10,0.000000475
13,30,100,-34.2,-10,0.000000473
13,30,100,-34,-10,0.00000047
13,30,100,-33.8,-10,0.000000467
13,30,100,-33.6,-10,0.000000464
13,30,100,-33.4,-10,0.000000461
13,30,100,-33.2,-10,0.000000458
13,30,100,-33,-10,0.000000455
13,30,100,-32.8,-10,0.000000452
13,30,100,-32.6,-10,0.000000449
13,30,100,-32.4,-10,0.000000447
13,30,100,-32.2,-10,0.000000444
13,30,100,-32,-10,0.000000441
13,30,100,-31.8,-10,0.000000438
13,30,100,-31.6,-10,0.000000435
13,30,100,-31.4,-10,0.000000432
13,30,100,-31.2,-10,0.000000429
13,30,100,-31,-10,0.000000426
13,30,100,-30.8,-10,0.000000423
13,30,100,-30.6,-10,0.00000042
13,30,100,-30.4,-10,0.000000418
13,30,100,-30.2,-10,0.000000415
13,30,100,-30,-10,0.000000412
13,30,100,-29.8,-10,0.000000409
13,30,100,-29.6,-10,0.000000406
13,30,100,-29.4,-10,0.000000403
13,30,100,-29.2,-10,0.0000004
13,30,100,-29,-10,0.000000397
13,30,100,-28.8,-10,0.000000394
13,30,100,-28.6,-10,0.000000391
13,30,100,-28.4,-10,0.000000388
13,30,100,-28.2,-10,0.000000385
13,30,100,-28,-10,0.000000383
13,30,100,-27.8,-10,0.00000038
13,30,100,-27.6,-10,0.000000377
13,30,100,-27.4,-10,0.000000374
13,30,100,-27.2,-10,0.000000371
13,30,100,-27,-10,0.000000368
13,30,100,-26.8,-10,0.000000365
13,30,100,-26.6,-10,0.000000362
13,30,100,-26.4,-10,0.000000359
13,30,100,-26.2,-10,0.000000356
13,30,100,-26,-10,0.000000353
13,30,100,-25.8,-10,0.00000035
13,30,100,-25.6,-10,0.000000348
13,30,100,-25.4,-10,0.000000345
13,30,100,-25.2,-10,0.000000342
13,30,100,-25,-10,0.000000339
13,30,100,-24.8,-10,0.000000336
13,30,100,-24.6,-10,0.000000333
13,30,100,-24.4,-10,0.00000033
13,30,100,-24.2,-10,0.000000327
13,30,100,-24,-10,0.000000324
13,30,100,-23.8,-10,0.000000321
13,30,100,-23.6,-10,0.000000318
13,30,100,-23.4,-10,0.000000315
13,30,100,-23.2,-10,0.000000312
13,30,100,-23,-10,0.000000309
13,30,100,-22.8,-10,0.000000306
13,30,100,-22.6,-10,0.000000304
13,30,100,-22.4,-10,0.000000301
13,30,100,-22.2,-10,0.000000298
13,30,100,-22,-10,0.000000295
13,30,100,-21.8,-10,0.000000292
13,30,100,-21.6,-10,0.000000289
13,30,100,-21.4,-10,0.000000286
13,30,100,-21.2,-10,0.000000283
13,30,100,-21,-10,0.00000028
13,30,100,-20.8,-10,0.000000277
13,30,100,-20.6,-10,0.000000274
13,30,100,-20.4,-10,0.000000271
13,30,100,-20.2,-10,0.000000268
13,30,100,-20,-10,0.000000265
13,30,100,-19.8,-10,0.000000262
13,30,100,-19.6,-10,0.000000259
13,30,100,-19.4,-10,0.000000256
13,30,100,-19.2,-10,0.000000253
13,30,100,-19,-10,0.00000025
13,30,100,-18.8,-10,0.000000248
13,30,100,-18.6,-10,0.000000245
13,30,100,-18.4,-10,0.000000242
13,30,100,-18.2,-10,0.000000239
13,30,100,-18,-10,0.000000236
13,30,100,-17.8,-10,0.000000233
13,30,100,-17.6,-10,0.00000023
13,30,100,-17.4,-10,0.000000227
13,30,100,-17.2,-10,0.000000224
13,30,100,-17,-10,0.000000221
13,30,100,-16.8,-10,0.000000218
13,30,100,-16.6,-10,0.000000215
13,30,100,-16.4,-10,0.000000212
13,30,100,-16.2,-10,0.000000209
13,30,100,-16,-10,0.000000206
13,30,100,-15.8,-10,0.000000203
13,30,100,-15.6,-10,0.0000002
13,30,100,-15.4,-10,0.000000197
13,30,100,-15.2,-10,0.000000194
13,30,100,-15,-10,0.000000191
13,30,100,-14.8,-10,0.000000188
13,30,100,-14.6,-10,0.000000185
13,30,100,-14.4,-10,0.000000182
13,30,100,-14.2,-10,0.000000179
13,30,100,-14,-10,0.000000176
13,30,100,-13.8,-10,0.000000173
13,30,100,-13.6,-10,0.00000017
13,30,100,-13.4,-10,0.000000167
13,30,100,-13.2,-10,0.000000164
13,30,100,-13,-10,0.000000161
13,30,100,-12.8,-10,0.000000158
13,30,100,-12.6,-10,0.000000155
13,30,100,-12.4,-10,0.000000152
13,30,100,-12.2,-10,0.000000149
13,30,100,-12,-10,0.000000146
13,30,100,-11.8,-10,0.000000143
13,30,100,-11.6,-10,0.00000014
13,30,100,-11.4,-10,0.000000137
13,30,100,-11.2,-10,0.000000134
13,30,100,-11,-10,0.000000131
13,30,100,-10.8,-10,0.000000128
13,30,100,-10.6,-10,0.000000125
13,30,100,-10.4,-10,0.000000122
13,30,100,-10.2,-10,0.000000119
13,30,100,-10,-10,0.000000116
13,30,100,-9.8,-10,0.000000113
13,30,100,-9.6,-10,0.00000011
13,30,100,-9.4,-10,0.000000107
13,30,100,-9.2,-10,0.000000104
13,30,100,-9,-10,0.000000101
13,30,100,-8.8,-10,9.85E-08
13,30,100,-8.6,-10,9.55E-08
13,30,100,-8.4,-10,9.26E-08
13,30,100,-8.2,-10,8.96E-08
13,30,100,-8,-10,8.67E-08
13,30,100,-7.8,-10,8.38E-08
13,30,100,-7.6,-10,8.09E-08
13,30,100,-7.4,-10,0.000000078
13,30,100,-7.2,-10,7.52E-08
13,30,100,-7,-10,7.23E-08
13,30,100,-6.8,-10,6.95E-08
13,30,100,-6.6,-10,6.67E-08
13,30,100,-6.4,-10,0.000000064
13,30,100,-6.2,-10,6.13E-08
13,30,100,-6,-10,5.86E-08
13,30,100,-5.8,-10,5.59E-08
13,30,100,-5.6,-10,5.33E-08
13,30,100,-5.4,-10,5.08E-08
13,30,100,-5.2,-10,4.83E-08
13,30,100,-5,-10,4.59E-08
13,30,100,-4.8,-10,4.35E-08
13,30,100,-4.6,-10,4.11E-08
13,30,100,-4.4,-10,3.89E-08
13,30,100,-4.2,-10,3.67E-08
13,30,100,-4,-10,3.45E-08
13,30,100,-3.8,-10,3.24E-08
13,30,100,-3.6,-10,3.04E-08
13,30,100,-3.4,-10,2.85E-08
13,30,100,-3.2,-10,2.66E-08
13,30,100,-3,-10,2.48E-08
13,30,100,-2.8,-10,0.000000023
13,30,100,-2.6,-10,2.14E-08
13,30,100,-2.4,-10,1.98E-08
13,30,100,-2.2,-10,1.82E-08
13,30,100,-2,-10,1.67E-08
13,30,100,-1.8,-10,1.53E-08
13,30,100,-1.6,-10,0.000000014
13,30,100,-1.4,-10,1.27E-08
13,30,100,-1.2,-10,1.15E-08
13,30,100,-1,-10,1.04E-08
13,30,100,-0.8,-10,9.32E-09
13,30,100,-0.6,-10,8.31E-09
13,30,100,-0.4,-10,7.37E-09
13,30,100,-0.2,-10,6.49E-09
13,30,100,0,-10,5.68E-09
13,30,100,0.2,-10,4.92E-09
13,30,100,0.4,-10,4.23E-09
13,30,100,0.6,-10,3.59E-09
13,30,100,0.8,-10,3.01E-09
13,30,100,1,-10,2.49E-09
13,30,100,1.2,-10,2.02E-09
13,30,100,1.4,-10,1.60E-09
13,30,100,1.6,-10,1.24E-09
13,30,100,1.8,-10,9.26E-10
13,30,100,2,-10,6.61E-10
13,30,100,2.2,-10,4.43E-10
13,30,100,2.4,-10,2.71E-10
13,30,100,2.6,-10,1.43E-10
13,30,100,2.8,-10,5.80E-11
13,30,100,3,-10,1.25E-11
13,30,100,3.2,-10,3.29E-13
13,30,100,3.4,-10,1.27E-13
13,30,100,3.6,-10,1.27E-13
13,30,100,3.8,-10,1.26E-13
13,30,100,4,-10,1.26E-13
13,30,100,4.2,-10,1.27E-13
13,30,100,4.4,-10,1.27E-13
13,30,100,4.6,-10,1.27E-13
13,30,100,4.8,-10,1.27E-13
13,30,100,5,-10,1.27E-13
13,30,100,5.2,-10,1.27E-13
13,30,100,5.4,-10,1.27E-13
13,30,100,5.6,-10,1.27E-13
13,30,100,5.8,-10,1.27E-13
13,30,100,6,-10,1.27E-13
13,30,100,6.2,-10,1.27E-13
13,30,100,6.4,-10,1.27E-13
13,30,100,6.6,-10,1.27E-13
13,30,100,6.8,-10,1.27E-13
13,30,100,7,-10,1.27E-13
13,30,100,7.2,-10,1.27E-13
13,30,100,7.4,-10,1.27E-13
13,30,100,7.6,-10,1.27E-13
13,30,100,7.8,-10,1.27E-13
13,30,100,8,-10,1.27E-13
13,30,100,8.2,-10,1.27E-13
13,30,100,8.4,-10,1.28E-13
13,30,100,8.6,-10,1.28E-13
13,30,100,8.8,-10,1.28E-13
13,30,100,9,-10,1.28E-13
13,30,100,9.2,-10,1.28E-13
13,30,100,9.4,-10,1.28E-13
13,30,100,9.6,-10,1.28E-13
13,30,100,9.8,-10,1.28E-13
13,30,100,10,-10,1.28E-13
13,30,100,10.2,-10,1.28E-13
13,30,100,10.4,-10,1.28E-13
13,30,100,10.6,-10,1.28E-13
13,30,100,10.8,-10,1.28E-13
13,30,100,11,-10,1.28E-13
13,30,100,11.2,-10,1.28E-13
