x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-14.526,-0.11659,-0.0959,-0.08058,-0.06215,-0.0555,-0.03771,-0.02979,-0.02211,-0.01656,-0.01225,-0.0039
-13.967,-0.11244,-0.09237,-0.07759,-0.05973,-0.05367,-0.03627,-0.02879,-0.02153,-0.01592,-0.01193,-0.00362
-13.407,-0.10825,-0.08879,-0.07456,-0.0573,-0.05177,-0.03481,-0.02778,-0.02093,-0.01525,-0.01159,-0.00332
-12.848,-0.10404,-0.08517,-0.0715,-0.05485,-0.04982,-0.03334,-0.02678,-0.02031,-0.01456,-0.01121,-0.003
-12.289,-0.09981,-0.0815,-0.06841,-0.05237,-0.04781,-0.03185,-0.02579,-0.01968,-0.01386,-0.0108,-0.00267
-11.729,-0.09554,-0.0778,-0.0653,-0.04986,-0.04575,-0.03035,-0.02481,-0.01902,-0.01314,-0.01033,-0.00232
-11.17,-0.09125,-0.07405,-0.06217,-0.04731,-0.04364,-0.02883,-0.02386,-0.01833,-0.0124,-0.00982,-0.00195
-10.61,-0.08694,-0.07028,-0.05901,-0.04471,-0.04148,-0.02731,-0.02292,-0.01762,-0.01165,-0.00924,-0.00158
-10.051,-0.08259,-0.06647,-0.05583,-0.04207,-0.03928,-0.02577,-0.02198,-0.01688,-0.01088,-0.00861,-0.0012
-9.492,-0.07822,-0.06263,-0.05264,-0.03937,-0.03704,-0.02423,-0.02099,-0.0161,-0.01011,-0.00794,-0.0008
-8.932,-0.07381,-0.05876,-0.04943,-0.03661,-0.03476,-0.02267,-0.01993,-0.01528,-0.00931,-0.00725,-0.00041
-8.373,-0.06937,-0.05487,-0.0462,-0.0338,-0.03244,-0.02111,-0.01875,-0.01441,-0.00851,-0.00655,-0.000004
-7.814,-0.06489,-0.05095,-0.04296,-0.03092,-0.03008,-0.01954,-0.01746,-0.0135,-0.0077,-0.00584,0.0004
-7.254,-0.06038,-0.04701,-0.03971,-0.028,-0.0277,-0.01796,-0.01605,-0.01255,-0.00687,-0.00514,0.00082
-6.695,-0.05582,-0.04306,-0.03645,-0.02503,-0.02529,-0.01638,-0.01454,-0.01154,-0.00604,-0.00443,0.00124
-6.136,-0.05122,-0.03908,-0.03318,-0.02203,-0.02285,-0.0148,-0.01295,-0.01049,-0.0052,-0.00373,0.00166
-5.576,-0.04658,-0.03509,-0.0299,-0.01899,-0.02038,-0.0132,-0.0113,-0.0094,-0.00435,-0.00302,0.00208
-5.017,-0.0419,-0.03108,-0.02661,-0.01592,-0.0179,-0.01161,-0.0096,-0.00826,-0.00349,-0.00231,0.00251
-4.458,-0.03716,-0.02706,-0.02331,-0.01282,-0.01539,-0.01,-0.00787,-0.00707,-0.00263,-0.0016,0.00294
-3.898,-0.03238,-0.02303,-0.02001,-0.0097,-0.01287,-0.0084,-0.00611,-0.00585,-0.00176,-0.00089,0.00337
-3.339,-0.02755,-0.01899,-0.0167,-0.00657,-0.01034,-0.00679,-0.00432,-0.00458,-0.00089,-0.00017,0.0038
-2.78,-0.02267,-0.01494,-0.01338,-0.00342,-0.00779,-0.00518,-0.00252,-0.00329,-0.00001,0.00054,0.00424
-2.22,-0.01775,-0.01088,-0.01007,-0.00026,-0.00524,-0.00357,-0.00071,-0.00196,0.00087,0.00125,0.00467
-1.661,-0.01279,-0.00682,-0.00674,0.00291,-0.00267,-0.00196,0.00112,-0.00061,0.00175,0.00196,0.00511
-1.102,-0.0078,-0.00275,-0.00342,0.00609,-0.0001,-0.00035,0.00295,0.00076,0.00264,0.00268,0.00555
-0.542,-0.00278,0.00132,-0.0001,0.00926,0.00247,0.00127,0.00479,0.00213,0.00353,0.00339,0.00599
0.017,0.00225,0.00538,0.00323,0.01243,0.00504,0.00288,0.00663,0.00351,0.00442,0.0041,0.00643
